(X, Y): (0,20); ID:641
(X, Y): (10,20); ID:641
(X, Y): (20,20); ID:641
(X, Y): (30,20); ID:641
(X, Y): (40,20); ID:641
(X, Y): (50,20); ID:641
(X, Y): (800,20); ID:683
(X, Y): (810,20); ID:683
(X, Y): (820,20); ID:683
(X, Y): (830,20); ID:683
(X, Y): (840,20); ID:683
(X, Y): (850,20); ID:683
(X, Y): (110,20); ID:33
(X, Y): (120,20); ID:33
(X, Y): (130,20); ID:34
(X, Y): (140,20); ID:34
(X, Y): (150,20); ID:35
(X, Y): (160,20); ID:35
(X, Y): (170,20); ID:36
(X, Y): (180,20); ID:36
(X, Y): (190,20); ID:37
(X, Y): (200,20); ID:37
(X, Y): (210,20); ID:38
(X, Y): (220,20); ID:38
(X, Y): (230,20); ID:39
(X, Y): (240,20); ID:39
(X, Y): (250,20); ID:40
(X, Y): (260,20); ID:40
(X, Y): (270,20); ID:41
(X, Y): (280,20); ID:41
(X, Y): (290,20); ID:42
(X, Y): (300,20); ID:42
(X, Y): (310,20); ID:43
(X, Y): (320,20); ID:43
(X, Y): (330,20); ID:44
(X, Y): (340,20); ID:44
(X, Y): (350,20); ID:45
(X, Y): (360,20); ID:45
(X, Y): (370,20); ID:46
(X, Y): (380,20); ID:46
(X, Y): (390,20); ID:47
(X, Y): (400,20); ID:47
(X, Y): (410,20); ID:48
(X, Y): (420,20); ID:48
(X, Y): (430,20); ID:49
(X, Y): (440,20); ID:49
(X, Y): (450,20); ID:50
(X, Y): (460,20); ID:50
(X, Y): (470,20); ID:51
(X, Y): (480,20); ID:51
(X, Y): (490,20); ID:52
(X, Y): (500,20); ID:52
(X, Y): (510,20); ID:53
(X, Y): (520,20); ID:53
(X, Y): (530,20); ID:54
(X, Y): (540,20); ID:54
(X, Y): (550,20); ID:55
(X, Y): (560,20); ID:55
(X, Y): (570,20); ID:56
(X, Y): (580,20); ID:56
(X, Y): (590,20); ID:57
(X, Y): (600,20); ID:57
(X, Y): (610,20); ID:58
(X, Y): (620,20); ID:58
(X, Y): (630,20); ID:59
(X, Y): (640,20); ID:59
(X, Y): (650,20); ID:60
(X, Y): (660,20); ID:60
(X, Y): (670,20); ID:61
(X, Y): (680,20); ID:61
(X, Y): (690,20); ID:62
(X, Y): (700,20); ID:62
(X, Y): (710,20); ID:63
(X, Y): (720,20); ID:63
(X, Y): (730,20); ID:64
(X, Y): (740,20); ID:64
(X, Y): (60,20); ID:642
(X, Y): (70,20); ID:642
(X, Y): (780,20); ID:688
(X, Y): (790,20); ID:688
(X, Y): (0,30); ID:641
(X, Y): (10,30); ID:641
(X, Y): (20,30); ID:641
(X, Y): (30,30); ID:641
(X, Y): (40,30); ID:641
(X, Y): (50,30); ID:641
(X, Y): (800,30); ID:683
(X, Y): (810,30); ID:683
(X, Y): (820,30); ID:683
(X, Y): (830,30); ID:683
(X, Y): (840,30); ID:683
(X, Y): (850,30); ID:683
(X, Y): (110,30); ID:33
(X, Y): (120,30); ID:33
(X, Y): (130,30); ID:34
(X, Y): (140,30); ID:34
(X, Y): (150,30); ID:35
(X, Y): (160,30); ID:35
(X, Y): (170,30); ID:36
(X, Y): (180,30); ID:36
(X, Y): (190,30); ID:37
(X, Y): (200,30); ID:37
(X, Y): (210,30); ID:38
(X, Y): (220,30); ID:38
(X, Y): (230,30); ID:39
(X, Y): (240,30); ID:39
(X, Y): (250,30); ID:40
(X, Y): (260,30); ID:40
(X, Y): (270,30); ID:41
(X, Y): (280,30); ID:41
(X, Y): (290,30); ID:42
(X, Y): (300,30); ID:42
(X, Y): (310,30); ID:43
(X, Y): (320,30); ID:43
(X, Y): (330,30); ID:44
(X, Y): (340,30); ID:44
(X, Y): (350,30); ID:45
(X, Y): (360,30); ID:45
(X, Y): (370,30); ID:46
(X, Y): (380,30); ID:46
(X, Y): (390,30); ID:47
(X, Y): (400,30); ID:47
(X, Y): (410,30); ID:48
(X, Y): (420,30); ID:48
(X, Y): (430,30); ID:49
(X, Y): (440,30); ID:49
(X, Y): (450,30); ID:50
