(X, Y): (40,240); ID:665
(X, Y): (50,240); ID:665
(X, Y): (800,240); ID:712
(X, Y): (810,240); ID:712
(X, Y): (40,250); ID:665
(X, Y): (50,250); ID:665
(X, Y): (800,250); ID:712
(X, Y): (810,250); ID:712
(X, Y): (40,280); ID:670
(X, Y): (50,280); ID:670
(X, Y): (800,280); ID:707
(X, Y): (810,280); ID:707
(X, Y): (40,290); ID:670
(X, Y): (50,290); ID:670
(X, Y): (800,290); ID:707
(X, Y): (810,290); ID:707
(X, Y): (40,320); ID:673
(X, Y): (50,320); ID:673
(X, Y): (800,320); ID:723
(X, Y): (810,320); ID:723
(X, Y): (40,330); ID:673
(X, Y): (50,330); ID:673
(X, Y): (800,330); ID:723
(X, Y): (810,330); ID:723
(X, Y): (40,360); ID:681
(X, Y): (50,360); ID:681
(X, Y): (800,360); ID:715
(X, Y): (810,360); ID:715
(X, Y): (40,370); ID:681
(X, Y): (50,370); ID:681
(X, Y): (800,370); ID:715
(X, Y): (810,370); ID:715
