               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11704,            0.093685,            0.027122,                   0,                   0,                   0,                   0,             0.11312,            0.095421,            0.027077,             0.00037,             0.00037,             0.09667
                   1,             0.11318,            0.096362,            0.026346,                   0,                   0,                   0,                   0,             0.11259,            0.094262,            0.027033,          0.00074998,          0.00074998,             0.09325
                   2,             0.11211,            0.092979,            0.025941,                   0,                   0,                   0,                   0,             0.11274,            0.093525,            0.027014,           0.0011299,           0.0011299,             0.08983
                   3,             0.11178,            0.096401,            0.025688,                   0,                   0,                   0,                   0,             0.11256,            0.093268,            0.026813,           0.0015097,           0.0015097,             0.08641
                   4,             0.11157,            0.095452,            0.025447,                   0,                   0,                   0,                   0,             0.11223,            0.091404,            0.027468,           0.0018893,           0.0018893,            0.082989
                   5,             0.11128,            0.094222,            0.025225,           0.0010078,            0.018574,          0.00052263,          0.00021658,             0.11182,            0.091127,            0.027262,           0.0022686,           0.0022686,            0.079569
                   6,             0.11083,            0.092425,            0.024943,            0.084186,            0.082831,            0.023676,            0.005012,             0.11423,            0.084973,            0.028089,           0.0026476,           0.0026476,            0.076148
                   7,             0.10978,            0.089283,            0.024668,            0.073942,            0.084839,            0.021647,           0.0030656,             0.11108,            0.083763,            0.026287,           0.0030263,           0.0030263,            0.072726
                   8,             0.10351,            0.078574,            0.024137,          0.00015752,          0.00050201,          2.7144e-05,           4.484e-06,             0.14245,            0.048446,            0.022713,           0.0034046,           0.0034046,            0.069305
                   9,            0.095169,            0.073578,            0.024134,                   0,                   0,                   0,                   0,             0.13997,            0.062076,            0.027479,           0.0037824,           0.0037824,            0.065882
                  10,            0.089148,            0.070673,            0.023798,            0.079921,            0.062249,            0.019832,           0.0033893,             0.11088,            0.087828,            0.029159,           0.0041597,           0.0041597,             0.06246
                  11,            0.083317,            0.070296,            0.023515,             0.25391,              0.3297,             0.16823,            0.039698,            0.086139,            0.076542,             0.02878,           0.0045364,           0.0045364,            0.059036
                  12,             0.08011,            0.069232,            0.023223,              0.4819,             0.46904,             0.37527,             0.11429,            0.080685,            0.089408,            0.026949,           0.0049125,           0.0049125,            0.055613
                  13,            0.082331,            0.070686,            0.022471,                   0,                   0,                   0,                   0,             0.14175,             0.03999,             0.02272,           0.0052879,           0.0052879,            0.052188
                  14,             0.08064,            0.067267,            0.020953,             0.32423,             0.50069,             0.34155,             0.10953,            0.079069,            0.069291,            0.024752,           0.0056625,           0.0056625,            0.048763
                  15,            0.078128,            0.064297,            0.018719,             0.71522,             0.42214,             0.45739,             0.19782,            0.076518,            0.065101,            0.022471,           0.0060364,           0.0060364,            0.045336
                  16,            0.076404,            0.065901,            0.016297,              0.4864,             0.45951,             0.44424,             0.20365,            0.074721,            0.060566,            0.019999,           0.0064094,           0.0064094,            0.041909
                  17,            0.072303,            0.064201,            0.014241,             0.35728,             0.49255,              0.3628,             0.12386,            0.074412,            0.062532,             0.01588,           0.0067814,           0.0067814,            0.038481
                  18,            0.072945,            0.063404,             0.01301,             0.46525,             0.45899,             0.38585,              0.1207,            0.077455,            0.071937,            0.018758,           0.0071525,           0.0071525,            0.035053
                  19,             0.06902,            0.062082,            0.011135,             0.54414,             0.10944,             0.14275,            0.079873,             0.10528,             0.11595,            0.018997,           0.0075226,           0.0075226,            0.031623
                  20,            0.067471,            0.059839,            0.010137,             0.52346,             0.37577,             0.39512,             0.14509,            0.078542,            0.068029,            0.013174,           0.0078916,           0.0078916,            0.028192
                  21,            0.066218,            0.059716,           0.0093956,             0.50014,             0.63363,             0.53221,              0.2167,            0.052686,            0.057452,           0.0085571,           0.0082595,           0.0082595,             0.02476
                  22,             0.06948,            0.063929,            0.011378,             0.63184,              0.2106,             0.34774,            0.071124,            0.093448,             0.64996,            0.030539,           0.0086262,           0.0086262,            0.021326
                  23,            0.067343,             0.06033,            0.010681,             0.52744,             0.44058,             0.44589,             0.11758,             0.06272,            0.076093,            0.010215,           0.0089917,           0.0089917,            0.017892
                  24,            0.064651,            0.054538,           0.0072664,             0.76731,             0.69646,             0.79329,             0.31561,            0.051632,            0.055588,           0.0054354,           0.0093558,           0.0093558,            0.014456
                  25,            0.063456,            0.058397,           0.0071256,             0.63307,             0.71652,             0.68602,             0.27904,            0.051318,            0.052172,           0.0040759,           0.0097187,           0.0097187,            0.011019
                  26,             0.06196,            0.058092,           0.0073165,             0.85264,             0.51344,             0.62658,             0.25585,            0.057801,            0.075847,            0.015787,           0.0098342,           0.0098342,           0.0098342
                  27,            0.059476,            0.055466,           0.0066884,             0.75056,             0.81299,             0.86261,             0.38608,            0.042574,            0.049302,           0.0098697,           0.0098342,           0.0098342,           0.0098342
                  28,            0.056235,             0.05322,           0.0065489,             0.66857,              0.6856,             0.69686,             0.27738,            0.050809,            0.054486,            0.020111,           0.0098213,           0.0098213,           0.0098213
                  29,            0.054928,              0.0517,           0.0062499,             0.83789,             0.77088,             0.84836,             0.38133,            0.047229,            0.048758,           0.0092245,           0.0098079,           0.0098079,           0.0098079
                  30,              0.0535,            0.051557,           0.0052241,             0.80709,             0.91407,             0.87463,             0.45765,            0.039043,            0.048346,           0.0044307,           0.0097941,           0.0097941,           0.0097941
                  31,            0.052166,            0.050833,           0.0056252,             0.90258,             0.83984,              0.8988,             0.47809,            0.039959,            0.047827,           0.0042382,           0.0097798,           0.0097798,           0.0097798
                  32,            0.050506,            0.047878,           0.0049303,             0.86931,             0.80191,             0.87268,             0.47346,            0.037362,             0.04506,           0.0057018,            0.009765,            0.009765,            0.009765
                  33,            0.049221,            0.048521,           0.0047286,             0.92045,             0.78408,             0.88164,             0.46946,            0.043235,             0.04556,           0.0048673,           0.0097497,           0.0097497,           0.0097497
                  34,            0.048882,            0.049038,           0.0062649,             0.90879,             0.78862,             0.88493,             0.49412,            0.037877,            0.043124,           0.0075311,            0.009734,            0.009734,            0.009734
                  35,            0.047961,            0.046502,           0.0045133,             0.89141,              0.8938,              0.9095,             0.50159,            0.035561,            0.045033,           0.0042555,           0.0097178,           0.0097178,           0.0097178
                  36,             0.04627,            0.047223,           0.0050076,             0.92786,             0.86922,             0.93731,             0.52016,            0.036178,            0.041138,           0.0037621,           0.0097011,           0.0097011,           0.0097011
                  37,            0.047321,            0.047344,           0.0045836,             0.91968,             0.85899,             0.92826,             0.52116,            0.037602,            0.042056,           0.0040072,            0.009684,            0.009684,            0.009684
                  38,            0.043961,             0.04559,           0.0047605,             0.87856,             0.94984,             0.94226,             0.57423,            0.030421,            0.039129,           0.0039127,           0.0096664,           0.0096664,           0.0096664
                  39,            0.045131,            0.045424,           0.0044451,              0.9203,             0.87209,             0.95856,             0.49855,             0.03639,            0.041535,           0.0040515,           0.0096484,           0.0096484,           0.0096484
                  40,            0.045564,            0.046585,           0.0048054,             0.92249,             0.83738,             0.92811,             0.57121,            0.033786,            0.039154,           0.0030544,           0.0096299,           0.0096299,           0.0096299
                  41,            0.045012,            0.045882,           0.0046356,             0.91921,             0.91294,             0.96498,             0.55374,            0.033264,            0.039457,           0.0042509,            0.009611,            0.009611,            0.009611
                  42,            0.045002,            0.044992,           0.0047266,             0.92922,             0.93203,             0.95308,             0.58716,            0.032234,            0.040899,           0.0026132,           0.0095916,           0.0095916,           0.0095916
                  43,            0.040907,            0.043882,           0.0041326,             0.87587,             0.95215,             0.97362,             0.60811,            0.032344,             0.03998,           0.0039243,           0.0095717,           0.0095717,           0.0095717
                  44,            0.040378,            0.042959,           0.0043256,             0.90044,             0.98592,             0.94496,             0.59198,            0.030888,            0.037178,           0.0034744,           0.0095514,           0.0095514,           0.0095514
                  45,             0.04182,            0.044219,           0.0042317,              0.9112,             0.91645,             0.96007,             0.54793,            0.036877,            0.039164,           0.0033905,           0.0095307,           0.0095307,           0.0095307
                  46,            0.039043,            0.042301,           0.0038527,             0.92579,             0.97364,             0.96803,             0.62093,            0.030089,            0.035764,           0.0026913,           0.0095095,           0.0095095,           0.0095095
                  47,            0.042043,             0.04247,           0.0039975,              0.8505,              0.9648,             0.95576,             0.61246,            0.030368,            0.037944,           0.0031234,           0.0094879,           0.0094879,           0.0094879
                  48,            0.041864,            0.043405,           0.0041209,             0.86112,             0.90324,             0.94768,             0.59459,            0.033508,            0.040387,           0.0038756,           0.0094659,           0.0094659,           0.0094659
                  49,             0.04321,            0.043475,           0.0040716,              0.8911,             0.89213,             0.96433,             0.60154,            0.034538,            0.041219,           0.0033638,           0.0094434,           0.0094434,           0.0094434
                  50,             0.03991,            0.042679,           0.0043118,             0.91939,             0.98614,             0.95776,             0.58271,            0.031517,            0.037375,            0.002534,           0.0094205,           0.0094205,           0.0094205
                  51,            0.038806,            0.041418,            0.003879,             0.92266,             0.89122,              0.9555,             0.61554,            0.032494,            0.037463,           0.0024268,           0.0093971,           0.0093971,           0.0093971
                  52,            0.040043,            0.042074,           0.0036257,              0.9398,             0.94552,             0.97603,             0.62973,            0.030163,            0.036178,           0.0022454,           0.0093733,           0.0093733,           0.0093733
                  53,            0.039848,            0.042447,            0.004014,              0.9396,             0.95147,             0.97034,             0.62987,            0.028924,            0.035542,           0.0025249,           0.0093491,           0.0093491,           0.0093491
                  54,            0.037021,            0.040896,           0.0037193,             0.93572,             0.94981,              0.9795,             0.61353,            0.031489,              0.0366,           0.0023733,           0.0093245,           0.0093245,           0.0093245
                  55,            0.036328,            0.040834,           0.0042246,             0.92953,             0.95903,             0.97966,              0.6231,            0.030916,            0.036258,           0.0028679,           0.0092995,           0.0092995,           0.0092995
                  56,            0.035852,            0.040024,           0.0040314,             0.93235,             0.99538,              0.9876,             0.66934,            0.029112,            0.034197,           0.0026672,            0.009274,            0.009274,            0.009274
                  57,            0.038281,            0.040906,            0.004163,             0.92909,             0.99013,             0.96324,             0.60774,             0.02879,            0.036773,           0.0022818,           0.0092481,           0.0092481,           0.0092481
                  58,            0.037354,            0.041079,           0.0037392,             0.94525,             0.98903,             0.98792,             0.65453,            0.028877,            0.034938,           0.0023673,           0.0092219,           0.0092219,           0.0092219
                  59,            0.038399,            0.040741,           0.0037345,             0.92559,             0.98776,             0.97768,             0.61846,            0.034467,            0.035354,           0.0021202,           0.0091952,           0.0091952,           0.0091952
                  60,             0.03554,            0.041089,           0.0037719,             0.92605,             0.98674,             0.97573,             0.64009,            0.027876,            0.034277,           0.0023207,           0.0091681,           0.0091681,           0.0091681
                  61,            0.036767,             0.03966,           0.0035598,             0.93541,             0.97679,             0.98029,             0.60942,             0.03189,             0.03581,           0.0027572,           0.0091406,           0.0091406,           0.0091406
                  62,            0.037376,            0.040286,           0.0042572,             0.94904,             0.99525,              0.9855,             0.64661,            0.027698,            0.034448,           0.0021083,           0.0091127,           0.0091127,           0.0091127
                  63,            0.035192,            0.040357,           0.0040092,             0.91322,             0.97123,             0.95448,             0.62102,            0.028399,            0.033178,           0.0020348,           0.0090844,           0.0090844,           0.0090844
                  64,            0.034078,            0.038646,           0.0039047,             0.94204,             0.99304,             0.98923,             0.66019,            0.028707,            0.033613,           0.0021997,           0.0090557,           0.0090557,           0.0090557
                  65,            0.036899,            0.039266,           0.0039307,             0.97208,             0.93858,             0.99291,             0.61075,            0.030421,            0.035183,           0.0022945,           0.0090266,           0.0090266,           0.0090266
                  66,            0.036419,             0.04046,           0.0037478,             0.94917,             0.99549,             0.98093,             0.66056,            0.028752,            0.032252,           0.0020903,           0.0089972,           0.0089972,           0.0089972
                  67,            0.035665,            0.039236,           0.0036421,             0.94589,              0.9937,             0.97622,             0.63653,            0.027743,            0.034264,           0.0020215,           0.0089673,           0.0089673,           0.0089673
                  68,            0.033216,            0.036777,           0.0036654,              0.9492,             0.99172,             0.97922,              0.6539,            0.029932,             0.03367,           0.0021495,           0.0089371,           0.0089371,           0.0089371
