               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11685,            0.094305,            0.027068,                   0,                   0,                   0,                   0,             0.11305,            0.095408,            0.027068,             0.00037,             0.00037,             0.09667
                   1,             0.11309,            0.096665,            0.026313,                   0,                   0,                   0,                   0,             0.11257,            0.094216,             0.02703,          0.00074998,          0.00074998,             0.09325
                   2,             0.11183,            0.093145,             0.02589,                   0,                   0,                   0,                   0,             0.11266,            0.093522,            0.027038,           0.0011299,           0.0011299,             0.08983
                   3,             0.11167,            0.096282,            0.025643,                   0,                   0,                   0,                   0,              0.1127,            0.092873,            0.026755,           0.0015097,           0.0015097,             0.08641
                   4,             0.11151,            0.095091,              0.0254,                   0,                   0,                   0,                   0,             0.11285,             0.08945,            0.027604,           0.0018893,           0.0018893,            0.082989
                   5,              0.1115,            0.093364,            0.025232,            0.004308,            0.063698,           0.0023573,           0.0012137,             0.11521,            0.084108,            0.028326,           0.0022686,           0.0022686,            0.079569
                   6,             0.11119,            0.091141,            0.024978,           0.0025755,           0.0073616,          0.00075019,           0.0001836,             0.11992,            0.076597,            0.032409,           0.0026476,           0.0026476,            0.076148
                   7,             0.11055,            0.088269,            0.024854,             0.42164,            0.070281,            0.095827,             0.01188,             0.11412,            0.088607,            0.026044,           0.0030263,           0.0030263,            0.072726
                   8,             0.10646,            0.078928,             0.02406,           0.0011696,            0.034137,          0.00046273,          6.2401e-05,             0.13021,             0.18601,            0.022546,           0.0034046,           0.0034046,            0.069305
                   9,            0.099729,            0.075974,            0.023554,           0.0026355,            0.060743,           0.0014041,          0.00044724,             0.12314,             0.15123,            0.024968,           0.0037824,           0.0037824,            0.065882
                  10,            0.094109,            0.073519,            0.023286,          0.00011566,           0.0040161,          5.3278e-05,           6.392e-06,             0.14202,             0.63566,            0.026013,           0.0041597,           0.0041597,             0.06246
                  11,            0.087814,            0.070973,            0.023004,            0.042927,            0.075301,            0.013756,            0.002445,             0.10731,            0.090329,            0.026945,           0.0045364,           0.0045364,            0.059036
                  12,            0.083831,            0.069333,            0.022338,             0.33406,             0.14728,             0.12015,            0.024642,            0.096369,            0.063214,             0.03188,           0.0049125,           0.0049125,            0.055613
                  13,             0.08699,            0.070424,            0.021025,             0.27326,             0.38437,             0.17928,             0.04105,            0.088237,            0.068752,            0.033515,           0.0052879,           0.0052879,            0.052188
                  14,            0.082937,            0.065414,            0.019202,             0.41742,             0.29534,             0.23891,            0.050882,            0.085856,            0.065171,            0.029525,           0.0056625,           0.0056625,            0.048763
                  15,              0.0812,            0.064401,            0.017199,             0.40601,             0.36047,             0.36964,             0.11102,            0.084646,             0.06299,            0.028014,           0.0060364,           0.0060364,            0.045336
                  16,            0.078483,            0.066374,            0.015626,             0.37012,             0.38078,             0.30373,             0.09917,            0.074145,            0.062925,            0.025882,           0.0064094,           0.0064094,            0.041909
                  17,            0.076564,            0.065137,            0.013927,             0.49516,             0.36202,             0.38796,            0.082598,            0.072275,            0.060046,            0.018507,           0.0067814,           0.0067814,            0.038481
                  18,            0.075276,            0.063313,             0.01224,             0.58235,             0.48617,             0.48322,             0.20158,            0.070543,            0.057082,            0.016703,           0.0071525,           0.0071525,            0.035053
                  19,            0.071527,            0.061457,             0.01102,             0.43449,             0.40604,              0.3987,              0.1493,            0.080981,            0.073972,            0.011341,           0.0075226,           0.0075226,            0.031623
                  20,            0.070482,            0.062427,            0.011401,             0.69296,             0.52329,              0.5181,             0.16419,            0.072568,            0.062773,            0.011241,           0.0078916,           0.0078916,            0.028192
                  21,            0.069308,            0.059744,           0.0097308,             0.49839,             0.49084,             0.49808,              0.1899,            0.058265,            0.058956,            0.020476,           0.0082595,           0.0082595,             0.02476
                  22,            0.069828,            0.060035,           0.0093883,              0.6823,             0.54677,             0.64008,             0.23396,            0.061115,             0.05741,             0.01407,           0.0086262,           0.0086262,            0.021326
                  23,             0.06802,            0.059137,           0.0086026,              0.6067,             0.43924,             0.52664,             0.25064,            0.059624,             0.06533,            0.026675,           0.0089917,           0.0089917,            0.017892
                  24,            0.066799,            0.056302,           0.0076736,             0.60625,             0.55115,             0.54583,             0.13354,            0.052455,            0.058679,            0.018647,           0.0093558,           0.0093558,            0.014456
                  25,            0.064585,            0.058108,           0.0076458,              0.6216,             0.57708,             0.64141,             0.20781,            0.050899,            0.054592,            0.014077,           0.0097187,           0.0097187,            0.011019
                  26,            0.061611,            0.056588,           0.0074951,             0.68999,             0.80252,             0.72196,             0.31168,            0.051599,            0.051888,           0.0077257,           0.0098342,           0.0098342,           0.0098342
                  27,            0.059256,            0.056717,           0.0070882,             0.73889,             0.78565,             0.81074,             0.37846,            0.046391,            0.050046,           0.0075318,           0.0098342,           0.0098342,           0.0098342
                  28,            0.057367,            0.054945,           0.0064628,             0.81175,             0.73097,             0.80874,             0.36354,            0.042515,            0.048893,           0.0062312,           0.0098213,           0.0098213,           0.0098213
                  29,            0.057543,            0.052638,           0.0065458,             0.67042,             0.79366,             0.75613,             0.24752,            0.047178,            0.051221,           0.0094728,           0.0098079,           0.0098079,           0.0098079
                  30,            0.054436,            0.053232,           0.0052245,             0.89786,             0.77305,             0.89627,             0.41663,            0.038597,            0.045095,           0.0074698,           0.0097941,           0.0097941,           0.0097941
                  31,            0.052667,            0.051799,           0.0059094,             0.85386,             0.77426,             0.89568,              0.4024,             0.03961,            0.046343,            0.008712,           0.0097798,           0.0097798,           0.0097798
                  32,            0.050823,            0.049016,           0.0046824,             0.89549,             0.80783,             0.90118,             0.47081,            0.039565,            0.045696,            0.010752,            0.009765,            0.009765,            0.009765
                  33,            0.049713,            0.049745,           0.0051776,             0.92846,             0.80926,             0.89976,             0.43629,            0.037727,            0.045704,            0.005105,           0.0097497,           0.0097497,           0.0097497
                  34,            0.050409,            0.050296,           0.0061135,             0.89546,             0.90969,             0.96598,             0.51624,            0.041657,            0.041261,           0.0048371,            0.009734,            0.009734,            0.009734
                  35,            0.048565,            0.047112,           0.0046958,             0.89759,             0.89239,             0.93466,             0.48548,            0.036114,            0.043765,            0.005265,           0.0097178,           0.0097178,           0.0097178
                  36,            0.048173,            0.048101,           0.0050846,             0.85521,             0.90167,             0.95124,             0.52424,             0.03512,            0.042868,           0.0053562,           0.0097011,           0.0097011,           0.0097011
                  37,            0.048165,            0.048743,           0.0047633,             0.85629,             0.84622,             0.93655,             0.48024,            0.034319,             0.04321,           0.0058027,            0.009684,            0.009684,            0.009684
                  38,            0.044791,            0.047197,           0.0047099,             0.97114,              0.7786,             0.93869,             0.50693,            0.035777,            0.042566,           0.0053158,           0.0096664,           0.0096664,           0.0096664
                  39,            0.047388,            0.046389,           0.0043884,             0.91387,             0.87691,             0.95565,             0.51531,            0.034295,             0.04232,           0.0044307,           0.0096484,           0.0096484,           0.0096484
                  40,            0.043746,            0.047026,           0.0051136,             0.89589,             0.89055,             0.96224,             0.57865,            0.029209,            0.040881,            0.004647,           0.0096299,           0.0096299,           0.0096299
                  41,            0.044027,            0.046138,           0.0045858,              0.9075,             0.88346,             0.95914,             0.49052,            0.032243,            0.042592,            0.004066,            0.009611,            0.009611,            0.009611
                  42,            0.044594,            0.045525,           0.0047411,              0.8941,              0.9399,             0.96353,             0.57967,            0.032994,            0.041001,           0.0043797,           0.0095916,           0.0095916,           0.0095916
                  43,            0.042957,            0.045003,           0.0042199,              0.8737,             0.86507,             0.94506,             0.55454,            0.031468,            0.041949,           0.0064884,           0.0095717,           0.0095717,           0.0095717
                  44,            0.044301,            0.044742,           0.0041494,             0.83587,             0.88666,             0.91837,             0.54797,            0.032441,            0.042402,           0.0086665,           0.0095514,           0.0095514,           0.0095514
                  45,            0.043771,            0.044954,           0.0041692,             0.87003,             0.92014,             0.95956,              0.5787,            0.034082,            0.041068,           0.0042075,           0.0095307,           0.0095307,           0.0095307
                  46,            0.040151,            0.043339,           0.0039547,             0.90226,             0.89771,             0.95668,             0.58121,            0.030102,             0.04079,           0.0066143,           0.0095095,           0.0095095,           0.0095095
                  47,            0.041926,            0.043264,           0.0040855,             0.83313,             0.89628,             0.93127,              0.5517,            0.031582,            0.040312,            0.010198,           0.0094879,           0.0094879,           0.0094879
                  48,            0.040442,            0.043875,           0.0042492,             0.85783,             0.93412,               0.955,             0.60258,            0.028887,            0.038222,            0.005275,           0.0094659,           0.0094659,           0.0094659
                  49,            0.041919,            0.043528,           0.0044686,             0.87802,             0.94606,             0.95968,             0.58688,            0.029859,            0.040284,           0.0046968,           0.0094434,           0.0094434,           0.0094434
                  50,             0.04029,            0.043138,           0.0042386,             0.90796,             0.96604,             0.94856,             0.59095,            0.029485,            0.039364,           0.0064478,           0.0094205,           0.0094205,           0.0094205
                  51,            0.040474,            0.042038,           0.0040203,             0.85936,             0.95304,             0.94265,             0.57803,            0.029713,            0.038761,           0.0081278,           0.0093971,           0.0093971,           0.0093971
                  52,            0.039091,            0.042481,           0.0037309,              0.8896,             0.92524,             0.95562,             0.60551,            0.029318,            0.039281,            0.007482,           0.0093733,           0.0093733,           0.0093733
                  53,            0.039761,            0.042673,           0.0041464,             0.87887,              0.9582,             0.95051,             0.58122,            0.028842,            0.038726,            0.005234,           0.0093491,           0.0093491,           0.0093491
                  54,            0.037397,            0.041722,           0.0037817,             0.87025,             0.96731,             0.96688,             0.61535,            0.028963,            0.038048,           0.0048194,           0.0093245,           0.0093245,           0.0093245
                  55,            0.037464,            0.042094,           0.0043515,             0.93231,             0.96747,             0.96848,             0.63391,            0.026753,            0.037384,           0.0054174,           0.0092995,           0.0092995,           0.0092995
                  56,            0.037487,            0.041777,           0.0039986,             0.92741,             0.96941,              0.9654,             0.63186,            0.027058,            0.038063,           0.0031267,            0.009274,            0.009274,            0.009274
