               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059538,            0.067065,            0.086218,              0.7728,             0.24219,             0.35609,             0.20292,            0.070407,            0.061229,             0.12716,             0.00037,             0.00037,             0.09667
                   1,            0.050917,            0.055556,            0.057008,             0.36799,             0.62718,             0.51091,             0.25521,            0.067355,            0.056594,            0.064077,          0.00074998,          0.00074998,             0.09325
                   2,            0.051001,            0.052255,            0.033672,             0.69665,             0.68358,             0.60359,             0.27884,            0.053434,            0.056191,            0.026615,           0.0011299,           0.0011299,             0.08983
                   3,            0.045572,            0.051048,            0.020836,             0.77589,             0.72209,             0.66085,             0.33427,            0.044877,            0.051569,            0.018924,           0.0015097,           0.0015097,             0.08641
                   4,             0.04549,            0.048547,            0.015556,             0.84874,             0.73061,             0.78308,             0.44011,            0.041533,            0.046467,            0.018639,           0.0018893,           0.0018893,            0.082989
                   5,            0.045517,            0.046622,            0.011657,             0.78275,             0.84087,             0.81926,             0.45172,            0.038786,            0.042069,             0.01747,           0.0022686,           0.0022686,            0.079569
                   6,            0.045909,            0.045632,            0.010369,             0.81343,             0.80783,             0.85145,                0.48,            0.038702,            0.041152,            0.015248,           0.0026476,           0.0026476,            0.076148
                   7,            0.041999,            0.044464,           0.0083428,             0.86086,               0.831,             0.87636,             0.46346,            0.034467,            0.040579,            0.012623,           0.0030263,           0.0030263,            0.072726
                   8,            0.042941,            0.043676,           0.0081201,             0.80452,             0.84262,             0.87916,             0.47057,            0.034179,              0.0398,            0.010435,           0.0034046,           0.0034046,            0.069305
                   9,            0.041866,            0.042865,             0.00751,             0.90493,             0.84866,             0.93031,             0.56175,            0.032646,            0.037926,           0.0098012,           0.0037824,           0.0037824,            0.065882
                  10,            0.042132,            0.042956,           0.0069674,              0.9252,             0.87152,             0.93491,             0.55986,            0.035624,            0.038199,             0.01036,           0.0041597,           0.0041597,             0.06246
                  11,            0.038544,            0.041874,           0.0064775,             0.92062,             0.89873,             0.93311,             0.52181,            0.034716,            0.038918,            0.011569,           0.0045364,           0.0045364,            0.059036
                  12,             0.04047,              0.0423,            0.006579,             0.94945,             0.80609,             0.92845,              0.5921,            0.030576,            0.037125,            0.012494,           0.0049125,           0.0049125,            0.055613
                  13,            0.044977,            0.047659,           0.0074191,              0.6678,             0.77799,             0.74544,              0.3403,             0.04575,            0.047795,           0.0098981,           0.0052879,           0.0052879,            0.052188
                  14,            0.043435,            0.043798,           0.0062066,             0.91846,             0.86342,             0.93297,             0.57931,            0.041005,            0.039317,           0.0082574,           0.0056625,           0.0056625,            0.048763
                  15,             0.04348,            0.041508,           0.0071071,             0.84236,              0.9423,             0.93549,             0.53389,            0.032816,            0.038161,            0.010462,           0.0060364,           0.0060364,            0.045336
                  16,            0.043132,            0.043136,            0.006783,             0.85825,             0.93543,             0.93727,             0.47631,            0.036925,             0.03852,           0.0092685,           0.0064094,           0.0064094,            0.041909
                  17,            0.039066,            0.040255,           0.0053911,             0.84125,             0.91572,             0.92762,              0.5873,            0.032005,               0.037,           0.0085784,           0.0067814,           0.0067814,            0.038481
                  18,            0.038956,            0.041076,           0.0056488,             0.89888,             0.91821,             0.95483,             0.61613,            0.040886,            0.036227,           0.0056399,           0.0071525,           0.0071525,            0.035053
                  19,            0.038256,            0.040224,           0.0051281,             0.86784,             0.92246,             0.95121,             0.57481,            0.032765,            0.037694,           0.0090887,           0.0075226,           0.0075226,            0.031623
                  20,             0.03826,              0.0394,           0.0055597,             0.90886,             0.90899,              0.9341,             0.58528,            0.034101,             0.03727,           0.0084968,           0.0078916,           0.0078916,            0.028192
                  21,             0.03701,            0.038313,           0.0052803,             0.88097,             0.94588,             0.94494,             0.60968,            0.029839,            0.037595,           0.0064633,           0.0082595,           0.0082595,             0.02476
                  22,            0.039695,            0.043662,           0.0057698,             0.86092,             0.82981,             0.89948,             0.48247,            0.038338,            0.048951,             0.01322,           0.0086262,           0.0086262,            0.021326
                  23,             0.04036,            0.042617,           0.0060917,             0.88549,             0.94984,             0.93971,             0.49611,              0.0378,            0.040006,            0.010214,           0.0089917,           0.0089917,            0.017892
                  24,            0.037991,            0.037656,           0.0048463,             0.90007,             0.85984,               0.952,             0.59969,               0.029,            0.037505,           0.0073177,           0.0093558,           0.0093558,            0.014456
                  25,            0.038975,            0.040056,           0.0050038,             0.92929,             0.97214,             0.96644,             0.62531,            0.034409,            0.036745,           0.0089321,           0.0097187,           0.0097187,            0.011019
                  26,            0.036728,            0.039925,           0.0055573,             0.91092,             0.91719,             0.92768,             0.58679,            0.028611,             0.03665,           0.0081381,           0.0098342,           0.0098342,           0.0098342
                  27,             0.03699,            0.041023,           0.0052564,             0.83062,             0.85445,             0.93944,              0.5803,            0.028677,            0.036124,           0.0099124,           0.0098342,           0.0098342,           0.0098342
                  28,            0.034433,            0.038429,            0.004731,             0.92113,             0.91748,             0.93906,             0.58317,            0.034865,            0.035423,            0.010327,           0.0098213,           0.0098213,           0.0098213
                  29,            0.035765,             0.03837,           0.0051062,             0.92849,             0.92964,             0.95928,             0.58935,            0.029925,            0.033309,           0.0065643,           0.0098079,           0.0098079,           0.0098079
                  30,            0.033374,            0.037613,           0.0044243,             0.90539,             0.94037,             0.95878,             0.61522,            0.027739,            0.035377,           0.0074928,           0.0097941,           0.0097941,           0.0097941
                  31,            0.036314,            0.038807,           0.0048998,             0.88061,             0.93997,             0.93672,             0.60036,            0.027997,            0.035321,            0.011935,           0.0097798,           0.0097798,           0.0097798
                  32,            0.032051,            0.035822,           0.0040288,             0.87155,             0.94981,             0.95078,             0.60757,            0.029023,            0.033848,           0.0089911,            0.009765,            0.009765,            0.009765
                  33,            0.032641,            0.037228,            0.004406,             0.92768,             0.97036,             0.97083,             0.60515,            0.030917,            0.035819,           0.0074915,           0.0097497,           0.0097497,           0.0097497
                  34,            0.035206,            0.038517,           0.0055165,             0.91752,             0.92197,             0.95604,             0.58806,            0.029496,            0.033496,           0.0079258,            0.009734,            0.009734,            0.009734
                  35,            0.032037,            0.035464,           0.0039325,             0.92731,             0.97118,              0.9725,             0.64214,            0.026683,            0.033322,           0.0053474,           0.0097178,           0.0097178,           0.0097178
                  36,            0.033712,            0.037447,           0.0044692,             0.84609,             0.91253,             0.96502,             0.64086,            0.025444,            0.034667,           0.0069022,           0.0097011,           0.0097011,           0.0097011
                  37,            0.031792,            0.036913,           0.0040221,             0.89602,             0.96367,             0.96975,             0.64666,            0.025756,            0.031963,           0.0060819,            0.009684,            0.009684,            0.009684
                  38,            0.030414,            0.035012,           0.0036754,             0.93109,             0.98062,              0.9713,              0.6472,            0.025374,            0.031894,           0.0057822,           0.0096664,           0.0096664,           0.0096664
                  39,            0.031162,            0.035458,           0.0040239,             0.92004,             0.96043,             0.95498,             0.61516,            0.026621,            0.032831,           0.0065175,           0.0096484,           0.0096484,           0.0096484
                  40,            0.031704,             0.03706,           0.0045327,             0.93516,             0.94386,             0.97185,             0.64735,            0.023641,            0.031768,           0.0049646,           0.0096299,           0.0096299,           0.0096299
                  41,            0.031088,            0.036614,           0.0038791,              0.9154,             0.95317,             0.96979,             0.61615,            0.025976,            0.031558,           0.0056548,            0.009611,            0.009611,            0.009611
                  42,            0.032059,            0.036081,           0.0044714,             0.92682,             0.96605,             0.97517,             0.63065,            0.026394,            0.033191,           0.0044112,           0.0095916,           0.0095916,           0.0095916
                  43,            0.029762,            0.035432,           0.0039452,             0.93458,             0.93863,             0.97322,             0.64796,            0.023884,            0.031711,           0.0051803,           0.0095717,           0.0095717,           0.0095717
                  44,            0.029637,            0.034491,           0.0035267,             0.93307,             0.97162,             0.97226,             0.66937,            0.024617,            0.030964,           0.0040235,           0.0095514,           0.0095514,           0.0095514
                  45,            0.030247,            0.036085,           0.0037051,              0.9254,             0.96383,             0.97066,             0.66238,            0.026902,            0.032578,           0.0046217,           0.0095307,           0.0095307,           0.0095307
                  46,            0.028366,            0.033902,           0.0034583,             0.90578,             0.92337,             0.96271,             0.64985,            0.023305,            0.032374,           0.0048539,           0.0095095,           0.0095095,           0.0095095
                  47,            0.029046,            0.034222,           0.0036505,             0.93144,             0.93024,             0.95878,             0.63664,            0.024132,            0.033063,           0.0061454,           0.0094879,           0.0094879,           0.0094879
                  48,            0.029172,            0.034813,           0.0040524,             0.91646,             0.96536,             0.95856,             0.65433,            0.026708,            0.032591,           0.0067208,           0.0094659,           0.0094659,           0.0094659
                  49,            0.029814,            0.035068,           0.0038916,             0.92998,             0.93682,              0.9657,             0.65696,            0.022792,            0.030927,           0.0056481,           0.0094434,           0.0094434,           0.0094434
                  50,            0.028556,            0.034293,           0.0039993,             0.92606,             0.97027,             0.96987,              0.6598,            0.023754,            0.031767,           0.0045949,           0.0094205,           0.0094205,           0.0094205
                  51,            0.027831,            0.033618,           0.0035243,             0.93421,             0.98115,             0.96854,             0.64442,            0.026279,            0.029998,            0.005022,           0.0093971,           0.0093971,           0.0093971
                  52,            0.027057,             0.03365,           0.0033353,             0.93636,             0.94289,             0.95993,             0.63421,            0.023873,            0.033394,           0.0039578,           0.0093733,           0.0093733,           0.0093733
                  53,            0.029335,            0.034803,           0.0035664,             0.93502,             0.93542,             0.95211,             0.63922,            0.022301,            0.033549,           0.0048021,           0.0093491,           0.0093491,           0.0093491
                  54,            0.028302,            0.034619,           0.0034239,             0.92082,             0.93921,             0.94641,             0.63383,            0.028557,            0.033373,           0.0035934,           0.0093245,           0.0093245,           0.0093245
                  55,            0.029166,            0.035237,           0.0039757,             0.92273,              0.9799,             0.96198,             0.64264,            0.023148,             0.03163,           0.0035207,           0.0092995,           0.0092995,           0.0092995
                  56,            0.027661,            0.033885,           0.0036537,             0.93078,             0.97579,             0.96693,              0.6686,             0.02613,            0.030721,           0.0027815,            0.009274,            0.009274,            0.009274
                  57,            0.028379,            0.033938,           0.0038532,             0.93788,             0.97491,              0.9746,             0.65324,            0.023881,            0.034649,           0.0031815,           0.0092481,           0.0092481,           0.0092481
                  58,            0.027866,             0.03394,           0.0035005,             0.93924,             0.98394,              0.9681,             0.63382,             0.02384,            0.032691,           0.0034581,           0.0092219,           0.0092219,           0.0092219
                  59,            0.026613,            0.032607,           0.0032767,              0.9298,             0.97811,             0.96707,             0.68849,             0.02203,            0.031353,           0.0052064,           0.0091952,           0.0091952,           0.0091952
                  60,            0.026732,            0.033809,           0.0034532,             0.92511,             0.97465,             0.96028,             0.65566,            0.024853,            0.031979,           0.0046584,           0.0091681,           0.0091681,           0.0091681
                  61,            0.027175,            0.033001,           0.0032822,             0.89563,             0.87937,             0.94311,              0.6295,            0.027715,            0.035295,           0.0049442,           0.0091406,           0.0091406,           0.0091406
                  62,            0.028539,            0.033673,           0.0041238,             0.93317,             0.97824,             0.97223,              0.6842,            0.024373,            0.031698,           0.0036966,           0.0091127,           0.0091127,           0.0091127
                  63,            0.028521,            0.034715,           0.0037934,              0.9333,             0.98135,             0.98088,             0.68449,            0.023709,            0.031624,           0.0042151,           0.0090844,           0.0090844,           0.0090844
                  64,            0.026419,            0.032697,           0.0034783,             0.92877,             0.97764,             0.96668,             0.65397,            0.024139,            0.032303,           0.0040176,           0.0090557,           0.0090557,           0.0090557
                  65,            0.027407,            0.032945,           0.0037735,             0.92477,              0.9734,             0.96465,             0.66408,            0.023152,            0.031987,           0.0036924,           0.0090266,           0.0090266,           0.0090266
                  66,            0.027318,            0.033528,           0.0034833,              0.9212,             0.97458,              0.9712,              0.6513,            0.022709,            0.030248,           0.0043458,           0.0089972,           0.0089972,           0.0089972
