               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061414,             0.06884,            0.080488,             0.74145,             0.31815,             0.41774,             0.21793,            0.072861,            0.066274,             0.11726,             0.00037,             0.00037,             0.09667
                   1,            0.052782,            0.056571,            0.058077,             0.76688,             0.34823,             0.47779,             0.24401,              0.0708,            0.060524,            0.069793,          0.00074998,          0.00074998,             0.09325
                   2,            0.051049,            0.053249,            0.042974,              0.5853,             0.65285,             0.52778,             0.25422,            0.055416,            0.060583,            0.041809,           0.0011299,           0.0011299,             0.08983
                   3,            0.046755,            0.052965,            0.025428,             0.78773,             0.63684,             0.59849,             0.31597,            0.044577,            0.053172,            0.023425,           0.0015097,           0.0015097,             0.08641
                   4,            0.046191,            0.050208,            0.016074,             0.80586,             0.67931,             0.67433,              0.3368,            0.038319,            0.046782,            0.027129,           0.0018893,           0.0018893,            0.082989
                   5,            0.045775,            0.047994,            0.012599,             0.76428,             0.81725,             0.78699,             0.42979,            0.038979,            0.043875,            0.025773,           0.0022686,           0.0022686,            0.079569
                   6,            0.046478,              0.0471,            0.011101,              0.8542,             0.82162,             0.83905,             0.45005,            0.036657,            0.041917,            0.020251,           0.0026476,           0.0026476,            0.076148
                   7,            0.043269,             0.04583,           0.0086925,             0.87269,             0.79213,             0.85082,             0.46218,            0.036422,            0.042188,            0.016244,           0.0030263,           0.0030263,            0.072726
                   8,            0.043528,            0.045055,           0.0084629,              0.8687,             0.81181,             0.89076,             0.48111,            0.035845,            0.041982,            0.014727,           0.0034046,           0.0034046,            0.069305
                   9,            0.041595,             0.04394,           0.0076476,             0.88928,             0.78391,             0.86699,             0.49033,            0.038261,            0.042342,            0.015771,           0.0037824,           0.0037824,            0.065882
                  10,            0.042171,            0.044087,           0.0072274,              0.8586,             0.85084,              0.8602,             0.48999,            0.034268,            0.041418,            0.015411,           0.0041597,           0.0041597,             0.06246
                  11,            0.040209,            0.043378,            0.006556,             0.75531,             0.96001,             0.88729,             0.45582,            0.036127,            0.040614,            0.011469,           0.0045364,           0.0045364,            0.059036
                  12,            0.041696,            0.043993,           0.0069673,             0.88649,             0.77368,             0.89577,             0.51544,               0.034,             0.04406,            0.014048,           0.0049125,           0.0049125,            0.055613
                  13,            0.044381,            0.050954,           0.0083421,             0.95023,             0.73637,             0.88352,             0.45801,            0.042487,            0.062039,             0.01111,           0.0052879,           0.0052879,            0.052188
                  14,            0.043984,            0.043994,           0.0066036,             0.77489,             0.86533,             0.86856,             0.54029,            0.032596,            0.041696,            0.015637,           0.0056625,           0.0056625,            0.048763
