               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10536,            0.065251,            0.015976,           0.0009349,            0.057814,          0.00052214,          0.00017839,            0.098883,            0.071037,           0.0092601,             0.00183,             0.00183,             0.08353
                   1,              0.0987,            0.064488,           0.0070676,             0.73251,             0.13559,             0.13622,            0.043344,            0.083107,            0.051401,           0.0037163,           0.0036699,           0.0036699,             0.06697
                   2,            0.070054,            0.041991,           0.0025103,             0.79794,             0.30923,             0.31127,            0.082181,            0.057024,            0.040393,           0.0017844,           0.0055095,           0.0055095,            0.050409
                   3,            0.060267,            0.034827,           0.0019637,             0.56088,             0.58314,             0.52998,             0.14542,            0.054455,            0.032544,           0.0012625,           0.0073484,           0.0073484,            0.033848
                   4,            0.052804,            0.030871,           0.0016068,              0.5831,             0.61201,             0.55825,             0.22865,             0.05058,            0.027488,           0.0011121,           0.0091864,           0.0091864,            0.017286
                   5,            0.047509,            0.028069,           0.0015454,             0.69182,             0.67868,               0.648,             0.35249,             0.03071,            0.024377,           0.0011052,           0.0099938,           0.0099938,           0.0099938
                   6,            0.039378,            0.024409,            0.001326,             0.66268,              0.6895,              0.7095,             0.44404,            0.029242,            0.027545,           0.0012969,           0.0099938,           0.0099938,           0.0099938
                   7,            0.033895,            0.022187,           0.0010901,             0.91388,             0.72148,             0.77348,             0.44194,            0.025909,            0.019985,           0.0008445,           0.0099911,           0.0099911,           0.0099911
                   8,              0.0317,            0.021386,          0.00099746,              0.9521,             0.73047,             0.79781,             0.56968,            0.022811,            0.018626,          0.00085332,           0.0099879,           0.0099879,           0.0099879
                   9,             0.02952,            0.020214,          0.00095036,             0.95843,             0.75683,               0.778,             0.53598,            0.022534,            0.017761,          0.00074493,           0.0099842,           0.0099842,           0.0099842
                  10,            0.027418,            0.019579,          0.00087078,             0.92403,             0.70607,             0.80569,             0.53459,            0.019008,            0.016371,          0.00066524,             0.00998,             0.00998,             0.00998
                  11,             0.02666,            0.018755,          0.00080096,             0.97252,              0.7658,             0.86524,              0.6114,            0.018923,            0.015905,          0.00067991,           0.0099753,           0.0099753,           0.0099753
                  12,            0.025663,            0.018533,          0.00077788,             0.86423,             0.80671,             0.85964,             0.59842,            0.017497,            0.015537,          0.00073933,           0.0099702,           0.0099702,           0.0099702
                  13,            0.024992,            0.018219,          0.00086706,             0.96128,             0.76031,             0.85334,             0.60818,              0.0184,             0.01541,          0.00060517,           0.0099645,           0.0099645,           0.0099645
                  14,            0.024296,            0.017374,          0.00063805,             0.86148,             0.81384,             0.86524,             0.62285,            0.016695,            0.014534,          0.00060355,           0.0099584,           0.0099584,           0.0099584
                  15,            0.022777,             0.01692,          0.00061803,             0.91554,             0.76208,             0.83944,             0.61573,            0.017736,            0.014635,          0.00054634,           0.0099517,           0.0099517,           0.0099517
                  16,            0.022983,            0.016622,          0.00066093,             0.83256,             0.90128,             0.89173,             0.63509,            0.016431,            0.014271,          0.00055581,           0.0099446,           0.0099446,           0.0099446
                  17,            0.022255,            0.016589,          0.00063214,             0.84501,             0.92343,             0.90027,             0.67338,            0.015407,            0.013846,           0.0004987,            0.009937,            0.009937,            0.009937
                  18,            0.021583,            0.016304,          0.00060967,             0.86824,             0.90157,             0.90636,             0.62669,            0.016631,            0.014063,          0.00053079,           0.0099289,           0.0099289,           0.0099289
                  19,            0.021224,            0.015979,          0.00056744,              0.9128,             0.84989,             0.91868,             0.67089,            0.015887,            0.013929,          0.00049848,           0.0099203,           0.0099203,           0.0099203
                  20,            0.021229,            0.015916,          0.00064501,             0.83924,             0.90079,              0.8976,              0.6707,            0.014427,            0.013655,          0.00053317,           0.0099112,           0.0099112,           0.0099112
                  21,              0.0207,            0.015782,          0.00062456,             0.88285,             0.93113,             0.92559,             0.68002,            0.014895,             0.01351,          0.00048477,           0.0099017,           0.0099017,           0.0099017
                  22,            0.019601,            0.015379,           0.0005315,             0.90765,             0.91755,             0.93036,             0.65874,            0.014649,            0.012813,          0.00043954,           0.0098916,           0.0098916,           0.0098916
                  23,            0.020365,             0.01566,          0.00059049,             0.85108,             0.90189,             0.89794,             0.67416,            0.014557,            0.013044,          0.00048105,           0.0098811,           0.0098811,           0.0098811
                  24,            0.019178,            0.015185,          0.00057443,             0.87817,              0.8942,             0.91019,             0.64878,            0.014259,            0.012749,          0.00042704,           0.0098701,           0.0098701,           0.0098701
                  25,            0.018805,            0.014968,          0.00056026,             0.92116,             0.91621,             0.92993,             0.73454,            0.013412,            0.012153,          0.00040747,           0.0098586,           0.0098586,           0.0098586
                  26,            0.019782,            0.015304,          0.00054103,             0.90899,             0.92409,             0.93112,             0.71008,            0.013473,            0.012316,          0.00040862,           0.0098467,           0.0098467,           0.0098467
                  27,            0.019209,            0.014576,            0.000506,               0.893,             0.94668,             0.92837,             0.71918,            0.014309,            0.012457,          0.00038769,           0.0098342,           0.0098342,           0.0098342
                  28,             0.01877,            0.014683,          0.00052552,             0.90666,             0.92486,             0.92717,             0.68016,            0.013454,            0.012478,          0.00041185,           0.0098213,           0.0098213,           0.0098213
                  29,            0.018125,            0.014376,           0.0005098,             0.91513,             0.93211,             0.93436,             0.71408,            0.013402,             0.01218,          0.00036722,           0.0098079,           0.0098079,           0.0098079
                  30,            0.018608,            0.014387,          0.00051106,             0.93985,             0.94484,             0.93194,              0.7122,            0.013252,            0.012099,          0.00040351,           0.0097941,           0.0097941,           0.0097941
                  31,            0.017745,            0.014396,          0.00048275,             0.84162,             0.94752,             0.90622,             0.69343,            0.013456,            0.012003,           0.0003677,           0.0097798,           0.0097798,           0.0097798
                  32,            0.017974,            0.014455,          0.00050694,             0.93158,             0.94691,             0.93095,             0.73853,            0.012864,            0.011866,          0.00037413,            0.009765,            0.009765,            0.009765
                  33,            0.017501,            0.014008,          0.00046774,             0.91642,             0.90201,             0.92638,             0.72757,            0.012918,            0.011763,          0.00035042,           0.0097497,           0.0097497,           0.0097497
                  34,            0.017425,            0.014152,           0.0005077,             0.92412,             0.93562,             0.91328,             0.72289,            0.012596,            0.011752,          0.00032847,            0.009734,            0.009734,            0.009734
                  35,             0.01746,            0.014116,          0.00044688,             0.89761,             0.86528,             0.87338,             0.67899,             0.01267,            0.011727,            0.000355,           0.0097178,           0.0097178,           0.0097178
                  36,             0.01756,            0.014185,          0.00050541,             0.94419,             0.90865,              0.9339,             0.73405,            0.012461,            0.011787,           0.0003546,           0.0097011,           0.0097011,           0.0097011
                  37,            0.016863,            0.013742,          0.00041144,             0.88873,             0.90204,              0.9105,             0.72522,            0.012548,            0.011758,          0.00032948,            0.009684,            0.009684,            0.009684
                  38,            0.016718,            0.013589,          0.00037207,             0.88403,             0.96185,             0.93335,             0.72811,            0.012246,            0.011552,          0.00032434,           0.0096664,           0.0096664,           0.0096664
                  39,            0.016772,            0.013673,          0.00043747,             0.89851,             0.94715,             0.92843,              0.7359,            0.012805,            0.011746,          0.00031881,           0.0096484,           0.0096484,           0.0096484
                  40,            0.016719,            0.013676,          0.00040798,             0.90304,              0.9097,             0.92998,             0.74023,            0.012395,            0.011469,          0.00032039,           0.0096299,           0.0096299,           0.0096299
                  41,            0.016524,            0.013529,          0.00046539,             0.91074,              0.9396,             0.93691,             0.74623,            0.012415,            0.011435,           0.0003177,            0.009611,            0.009611,            0.009611
                  42,            0.016597,            0.013756,          0.00043022,             0.94401,             0.94447,             0.93965,             0.73856,            0.012101,            0.011299,          0.00031048,           0.0095916,           0.0095916,           0.0095916
                  43,            0.016308,            0.013627,           0.0003542,             0.94397,             0.94338,               0.943,             0.76493,            0.011921,            0.011062,          0.00030014,           0.0095717,           0.0095717,           0.0095717
                  44,            0.016239,            0.013589,          0.00039535,             0.92124,             0.95328,             0.93834,             0.68719,            0.012231,            0.011899,          0.00030931,           0.0095514,           0.0095514,           0.0095514
                  45,            0.016154,            0.013568,          0.00039229,             0.89923,             0.92501,             0.93173,             0.74209,             0.01168,            0.011169,          0.00031446,           0.0095307,           0.0095307,           0.0095307
                  46,            0.016073,            0.013553,          0.00044944,             0.93311,             0.85371,              0.9162,             0.74164,            0.011714,            0.011115,          0.00027904,           0.0095095,           0.0095095,           0.0095095
                  47,            0.015954,            0.013355,          0.00032344,             0.91703,             0.93195,             0.93409,             0.76429,            0.011489,            0.011065,          0.00029183,           0.0094879,           0.0094879,           0.0094879
                  48,            0.015737,            0.013273,          0.00039453,              0.9342,             0.90558,             0.91752,             0.74249,            0.011685,            0.011039,          0.00027312,           0.0094659,           0.0094659,           0.0094659
                  49,            0.016238,             0.01344,           0.0004064,             0.88766,             0.93115,             0.92153,             0.73293,            0.012068,             0.01121,          0.00030283,           0.0094434,           0.0094434,           0.0094434
                  50,            0.015876,            0.013264,          0.00034187,             0.89987,             0.95498,             0.93961,              0.7562,            0.011848,            0.011108,          0.00026447,           0.0094205,           0.0094205,           0.0094205
                  51,            0.015706,             0.01311,          0.00035604,             0.94471,             0.95133,             0.94285,              0.7654,            0.011322,            0.010858,          0.00027158,           0.0093971,           0.0093971,           0.0093971
                  52,            0.015511,            0.013295,          0.00038392,             0.93064,             0.94703,             0.94184,             0.74795,            0.011718,            0.010907,          0.00027163,           0.0093733,           0.0093733,           0.0093733
                  53,            0.015618,            0.012952,          0.00034442,             0.92637,             0.93929,             0.91031,             0.74204,            0.011475,            0.010925,          0.00026099,           0.0093491,           0.0093491,           0.0093491
                  54,            0.015179,            0.012941,          0.00034322,             0.95029,             0.94477,             0.93162,             0.76816,            0.011383,            0.010841,          0.00025903,           0.0093245,           0.0093245,           0.0093245
                  55,            0.015499,            0.013236,          0.00032967,             0.93607,             0.95352,             0.93378,             0.78007,            0.011364,            0.010915,          0.00026136,           0.0092995,           0.0092995,           0.0092995
                  56,            0.015543,            0.013099,          0.00034334,             0.88827,             0.97003,               0.937,             0.74717,            0.011463,            0.010797,          0.00024616,            0.009274,            0.009274,            0.009274
                  57,             0.01493,            0.012978,           0.0003723,             0.89304,             0.94757,             0.93833,             0.76619,            0.011348,            0.010749,          0.00024381,           0.0092481,           0.0092481,           0.0092481
                  58,            0.015369,            0.012986,          0.00037909,             0.93277,             0.95928,              0.9392,             0.76149,            0.011179,            0.010627,          0.00025774,           0.0092219,           0.0092219,           0.0092219
                  59,            0.014783,            0.012886,          0.00033632,              0.9331,             0.95292,             0.94569,             0.76465,            0.011081,            0.010781,          0.00025051,           0.0091952,           0.0091952,           0.0091952
                  60,            0.015127,            0.012848,          0.00035809,             0.93977,             0.95088,             0.93378,             0.77738,            0.011389,             0.01081,          0.00026394,           0.0091681,           0.0091681,           0.0091681
                  61,            0.014464,            0.012699,          0.00034822,             0.95235,             0.94338,             0.94196,             0.76533,            0.011185,            0.010698,          0.00024038,           0.0091406,           0.0091406,           0.0091406
                  62,            0.015055,            0.012771,          0.00031315,             0.94332,             0.95888,             0.92854,             0.77444,            0.011101,            0.010698,          0.00024544,           0.0091127,           0.0091127,           0.0091127
                  63,            0.014599,            0.012694,          0.00039279,             0.96644,              0.9422,             0.94006,             0.77123,            0.011074,            0.010689,          0.00023398,           0.0090844,           0.0090844,           0.0090844
