               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10564,            0.064656,            0.014166,          0.00088955,            0.055556,           0.0004695,          9.5924e-05,            0.099886,            0.070891,           0.0075834,             0.00183,             0.00183,             0.08353
                   1,            0.098187,            0.064832,           0.0054182,            0.058103,             0.10331,            0.018109,           0.0044461,             0.11967,            0.049404,            0.014739,           0.0036699,           0.0036699,             0.06697
                   2,            0.068109,            0.042153,           0.0015894,             0.53651,             0.72831,             0.61007,             0.28665,            0.055706,            0.042925,           0.0012984,           0.0055095,           0.0055095,            0.050409
                   3,            0.058356,            0.033987,           0.0012295,              0.7214,             0.80458,             0.70925,             0.29312,            0.047003,            0.030891,           0.0010675,           0.0073484,           0.0073484,            0.033848
                   4,            0.051199,            0.030516,            0.001108,             0.80239,             0.86525,              0.9026,             0.46035,            0.039534,            0.028926,           0.0010804,           0.0091864,           0.0091864,            0.017286
                   5,            0.045339,            0.026783,           0.0010538,             0.96338,             0.92982,             0.98174,             0.64259,            0.031938,            0.023404,          0.00094383,           0.0099938,           0.0099938,           0.0099938
                   6,            0.037805,            0.023548,          0.00096338,             0.98289,             0.97027,             0.98914,             0.63095,            0.027908,            0.020955,          0.00091145,           0.0099938,           0.0099938,           0.0099938
                   7,            0.032542,            0.021219,          0.00087674,             0.98695,             0.97706,             0.99047,             0.71815,             0.02478,            0.018969,          0.00077015,           0.0099911,           0.0099911,           0.0099911
                   8,            0.030109,            0.020703,          0.00076932,             0.98235,             0.97634,             0.99311,             0.74706,            0.023452,            0.017757,          0.00068309,           0.0099879,           0.0099879,           0.0099879
                   9,            0.028755,            0.019505,          0.00072784,              0.9851,             0.98285,             0.99276,             0.77528,            0.022991,            0.018113,           0.0006902,           0.0099842,           0.0099842,           0.0099842
                  10,            0.026166,            0.018852,            0.000675,             0.99262,             0.98416,             0.99363,             0.79825,            0.017884,            0.015699,          0.00059653,             0.00998,             0.00998,             0.00998
                  11,            0.025315,            0.017919,           0.0006387,             0.98925,             0.98684,              0.9943,             0.80931,            0.017775,            0.015217,           0.0005884,           0.0099753,           0.0099753,           0.0099753
                  12,            0.024637,            0.017846,          0.00060484,             0.99386,             0.98535,             0.99432,             0.80465,            0.016751,            0.014957,           0.0005665,           0.0099702,           0.0099702,           0.0099702
                  13,            0.023789,             0.01735,          0.00059514,             0.99505,             0.98026,             0.99388,             0.81593,            0.016555,            0.014574,          0.00049904,           0.0099645,           0.0099645,           0.0099645
                  14,            0.022964,            0.016617,           0.0005401,              0.9958,             0.98289,             0.99425,             0.82043,            0.017904,            0.014904,          0.00052886,           0.0099584,           0.0099584,           0.0099584
                  15,            0.022351,            0.016421,          0.00052561,             0.99679,             0.98343,             0.99411,             0.80842,             0.01693,             0.01449,           0.0004953,           0.0099517,           0.0099517,           0.0099517
                  16,             0.02167,            0.015933,          0.00051253,             0.99631,             0.98555,             0.99442,              0.8431,            0.015199,            0.013641,          0.00048458,           0.0099446,           0.0099446,           0.0099446
                  17,            0.020867,            0.015813,          0.00047624,             0.99531,             0.98319,             0.99426,             0.84537,            0.015107,              0.0135,          0.00045544,            0.009937,            0.009937,            0.009937
                  18,             0.02091,            0.015698,          0.00047425,             0.99485,             0.98855,             0.99434,             0.83291,             0.01558,            0.013569,          0.00044451,           0.0099289,           0.0099289,           0.0099289
                  19,            0.019897,            0.015252,          0.00045485,             0.99436,             0.98879,             0.99438,             0.85442,            0.014582,            0.012991,          0.00041925,           0.0099203,           0.0099203,           0.0099203
                  20,            0.020099,            0.015214,          0.00044735,             0.99383,             0.98319,             0.99407,             0.84577,            0.015456,            0.013563,          0.00040321,           0.0099112,           0.0099112,           0.0099112
                  21,            0.019038,            0.014982,          0.00043088,             0.99387,             0.98825,              0.9943,             0.83794,            0.014438,            0.013553,          0.00037911,           0.0099017,           0.0099017,           0.0099017
                  22,            0.018861,            0.014817,          0.00040105,             0.99656,             0.98708,             0.99447,             0.85276,            0.014157,            0.012927,          0.00039611,           0.0098916,           0.0098916,           0.0098916
                  23,            0.019456,            0.015069,          0.00041925,             0.99582,             0.98782,             0.99447,             0.86094,            0.013206,            0.012725,          0.00039644,           0.0098811,           0.0098811,           0.0098811
                  24,            0.018731,            0.014504,          0.00040786,             0.99361,             0.98684,             0.99442,             0.86578,             0.01368,            0.012624,          0.00037838,           0.0098701,           0.0098701,           0.0098701
                  25,            0.018317,            0.014349,          0.00039333,             0.99461,             0.98903,             0.99445,             0.86033,            0.013581,            0.012392,          0.00036699,           0.0098586,           0.0098586,           0.0098586
                  26,            0.018755,            0.014659,          0.00038838,             0.99558,             0.98756,             0.99443,             0.86479,            0.012867,            0.012182,          0.00036352,           0.0098467,           0.0098467,           0.0098467
                  27,            0.018238,            0.013889,          0.00038189,             0.99607,             0.98904,             0.99448,             0.87049,            0.013031,            0.012096,          0.00034909,           0.0098342,           0.0098342,           0.0098342
                  28,            0.017797,            0.014075,          0.00037089,             0.99461,             0.98976,             0.99449,             0.86561,            0.012782,            0.012307,          0.00035403,           0.0098213,           0.0098213,           0.0098213
                  29,            0.017923,            0.013936,           0.0003642,             0.99389,             0.99073,             0.99459,             0.87163,            0.012567,            0.012054,          0.00034496,           0.0098079,           0.0098079,           0.0098079
                  30,            0.017021,            0.013502,          0.00034459,             0.99508,             0.98928,             0.99458,             0.86711,            0.012647,            0.011727,          0.00032329,           0.0097941,           0.0097941,           0.0097941
                  31,            0.017118,            0.013879,          0.00034825,             0.99582,             0.98801,             0.99434,             0.87664,            0.012383,            0.011563,          0.00031319,           0.0097798,           0.0097798,           0.0097798
                  32,            0.017357,            0.013904,          0.00034706,             0.99388,             0.98999,             0.99454,              0.8763,            0.012206,            0.011701,          0.00032695,            0.009765,            0.009765,            0.009765
                  33,            0.017042,            0.013428,          0.00033469,             0.99461,             0.98903,             0.99455,             0.87928,            0.013532,            0.011926,          0.00032366,           0.0097497,           0.0097497,           0.0097497
                  34,             0.01693,            0.013637,          0.00033405,             0.99607,             0.98855,             0.99462,             0.87295,            0.012127,            0.011699,          0.00030108,            0.009734,            0.009734,            0.009734
