               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10502,            0.065684,            0.015862,           0.0010804,            0.067711,          0.00060504,          0.00015828,             0.10371,            0.067536,            0.010903,             0.00183,             0.00183,             0.08353
                   1,            0.094032,            0.059711,           0.0069162,             0.61204,             0.14776,             0.07286,            0.016373,             0.08457,             0.12958,           0.0031187,           0.0036699,           0.0036699,             0.06697
                   2,            0.067453,            0.038913,           0.0027837,              0.2978,             0.60098,             0.38179,              0.1318,            0.056035,            0.036296,           0.0015297,           0.0055095,           0.0055095,            0.050409
                   3,            0.058734,            0.033666,           0.0020045,             0.59114,              0.5239,             0.47736,             0.15939,            0.048643,            0.030053,            0.001187,           0.0073484,           0.0073484,            0.033848
                   4,            0.052289,            0.030419,           0.0016214,             0.53388,              0.7493,             0.58469,             0.30892,            0.044368,            0.028287,           0.0011656,           0.0091864,           0.0091864,            0.017286
                   5,            0.046515,            0.027267,           0.0015185,             0.71914,             0.76655,              0.7824,             0.45868,            0.028134,            0.023126,           0.0011471,           0.0099938,           0.0099938,           0.0099938
                   6,            0.038726,            0.023935,           0.0012873,             0.71528,             0.82063,             0.74623,             0.50444,            0.025232,            0.021483,           0.0010901,           0.0099938,           0.0099938,           0.0099938
                   7,            0.033929,            0.021924,            0.001201,             0.72016,              0.7581,             0.71992,             0.44235,            0.025935,             0.01945,          0.00088525,           0.0099911,           0.0099911,           0.0099911
                   8,            0.031311,            0.021136,          0.00093138,             0.80227,             0.84474,              0.8526,             0.54292,            0.024973,            0.018471,          0.00079301,           0.0099879,           0.0099879,           0.0099879
                   9,            0.029504,            0.019957,           0.0010536,             0.90777,             0.80589,             0.86026,             0.57595,            0.024203,            0.018389,          0.00081297,           0.0099842,           0.0099842,           0.0099842
                  10,            0.027402,            0.019447,          0.00091722,             0.86041,             0.83336,             0.85624,              0.5888,            0.020548,            0.016862,          0.00068774,             0.00998,             0.00998,             0.00998
                  11,            0.026399,            0.018498,          0.00086442,             0.96862,              0.8044,             0.92169,              0.6669,            0.018806,            0.015392,          0.00064895,           0.0099753,           0.0099753,           0.0099753
                  12,            0.025462,            0.018353,          0.00080938,             0.83049,             0.94606,             0.88986,             0.61973,            0.017753,            0.015517,          0.00062675,           0.0099702,           0.0099702,           0.0099702
