               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10525,            0.065232,            0.014102,           0.0020575,             0.13182,           0.0011644,          0.00025375,            0.098304,            0.070169,           0.0074078,             0.00183,             0.00183,             0.08353
                   1,            0.093813,            0.059689,           0.0050214,             0.17911,             0.62436,             0.14166,            0.028471,            0.086555,            0.043203,           0.0020869,           0.0036699,           0.0036699,             0.06697
                   2,            0.065523,            0.038524,           0.0014491,             0.62856,             0.70054,             0.57853,             0.22565,            0.050308,            0.034759,           0.0010512,           0.0055095,           0.0055095,            0.050409
                   3,            0.057358,            0.033015,           0.0012449,             0.95627,             0.80984,             0.94702,             0.57581,            0.040197,            0.029146,          0.00096258,           0.0073484,           0.0073484,            0.033848
                   4,            0.051158,            0.029472,           0.0011262,             0.76675,             0.68886,             0.75999,              0.3455,             0.04539,            0.028286,           0.0010007,           0.0091864,           0.0091864,            0.017286
                   5,            0.045297,            0.026653,           0.0010722,             0.97353,             0.94115,             0.98062,             0.65908,            0.029951,            0.021833,          0.00090743,           0.0099938,           0.0099938,           0.0099938
                   6,            0.037221,            0.023029,          0.00097199,             0.97672,             0.96272,             0.99001,             0.66104,            0.028859,            0.019894,          0.00086734,           0.0099938,           0.0099938,           0.0099938
                   7,            0.032365,            0.020946,          0.00088375,              0.9798,             0.96922,              0.9919,             0.73509,            0.022943,            0.018392,          0.00080747,           0.0099911,           0.0099911,           0.0099911
                   8,            0.029753,            0.020339,          0.00077688,             0.98568,             0.97271,              0.9929,             0.76019,            0.024544,            0.017996,          0.00073952,           0.0099879,           0.0099879,           0.0099879
                   9,             0.02796,            0.019078,          0.00073529,             0.97811,             0.98221,             0.99328,             0.76574,            0.022806,            0.017808,          0.00068848,           0.0099842,           0.0099842,           0.0099842
                  10,            0.026384,            0.018726,          0.00067622,             0.99001,             0.97076,               0.992,             0.77417,            0.020224,            0.015959,          0.00058028,             0.00998,             0.00998,             0.00998
                  11,            0.025376,            0.017783,          0.00064578,             0.98946,             0.97149,             0.99306,              0.8159,            0.017829,            0.014843,          0.00057986,           0.0099753,           0.0099753,           0.0099753
