               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059571,            0.069618,             0.10116,             0.91567,             0.23795,             0.28684,             0.16917,            0.069414,            0.063743,            0.059046,             0.00037,             0.00037,             0.09667
                   1,            0.051015,            0.056339,            0.087422,             0.99692,               0.249,             0.53846,             0.27874,            0.052998,            0.061123,             0.05197,          0.00074998,          0.00074998,             0.09325
                   2,            0.048451,             0.05351,            0.069841,             0.30748,             0.87248,             0.59135,             0.28128,             0.04372,            0.054274,            0.045736,           0.0011299,           0.0011299,             0.08983
                   3,            0.042341,             0.05242,            0.058597,             0.33108,              0.9128,             0.60565,             0.30987,            0.035847,            0.049411,            0.040669,           0.0015097,           0.0015097,             0.08641
                   4,            0.043019,            0.048886,            0.049459,             0.36078,             0.92675,             0.61533,             0.33469,            0.035219,            0.046066,            0.037184,           0.0018893,           0.0018893,            0.082989
                   5,            0.042461,            0.046721,            0.042513,             0.35655,             0.88353,             0.63285,             0.33767,            0.034112,            0.044827,            0.033316,           0.0022686,           0.0022686,            0.079569
                   6,            0.043566,             0.04564,             0.03601,             0.44433,             0.77983,             0.67197,             0.35867,            0.033092,            0.044315,            0.028644,           0.0026476,           0.0026476,            0.076148
                   7,             0.04006,            0.044377,            0.031563,             0.52104,             0.79164,             0.70857,             0.36174,            0.035595,            0.043318,            0.025338,           0.0030263,           0.0030263,            0.072726
                   8,            0.041694,            0.043486,            0.027997,             0.46375,             0.88858,             0.70644,             0.37696,            0.032403,             0.04337,            0.023515,           0.0034046,           0.0034046,            0.069305
                   9,            0.039509,            0.042264,             0.02534,             0.57219,             0.76219,              0.7674,             0.40676,            0.033677,             0.04322,            0.020561,           0.0037824,           0.0037824,            0.065882
                  10,            0.039974,             0.04244,            0.022983,             0.70878,             0.68935,             0.77366,             0.40798,            0.034865,            0.042446,            0.018908,           0.0041597,           0.0041597,             0.06246
                  11,            0.036836,            0.041579,            0.020902,             0.82655,             0.70234,             0.79895,             0.40823,            0.031678,            0.041065,            0.016804,           0.0045364,           0.0045364,            0.059036
                  12,            0.039107,            0.042441,            0.019378,              0.7133,             0.81639,             0.84958,              0.4142,            0.030469,            0.042911,            0.017504,           0.0049125,           0.0049125,            0.055613
                  13,            0.043884,            0.047639,            0.017793,             0.69162,             0.75171,             0.74025,             0.41108,            0.035464,            0.041077,            0.014933,           0.0052879,           0.0052879,            0.052188
                  14,            0.039296,            0.040455,            0.015874,             0.86543,             0.79885,             0.85266,             0.44716,            0.030506,            0.040104,            0.012431,           0.0056625,           0.0056625,            0.048763
                  15,            0.040988,            0.041482,            0.014319,              0.7965,             0.86483,             0.86285,              0.4622,            0.031781,            0.038105,            0.011951,           0.0060364,           0.0060364,            0.045336
                  16,            0.042568,            0.044121,            0.012829,             0.90483,             0.85413,             0.92674,             0.54205,            0.028865,            0.036999,            0.010018,           0.0064094,           0.0064094,            0.041909
                  17,            0.038703,            0.040504,            0.010829,             0.86211,             0.89343,             0.92652,             0.55027,            0.029265,            0.036941,           0.0096596,           0.0067814,           0.0067814,            0.038481
                  18,            0.039685,            0.042225,           0.0094899,             0.91139,             0.90099,             0.94123,              0.5598,            0.032172,            0.036785,            0.008595,           0.0071525,           0.0071525,            0.035053
                  19,            0.037854,            0.041365,           0.0086737,             0.94185,             0.78924,              0.9143,             0.53101,            0.032974,            0.039061,           0.0095472,           0.0075226,           0.0075226,            0.031623
                  20,             0.03666,             0.03957,           0.0079882,             0.84203,             0.93767,              0.8704,             0.54668,             0.02955,            0.035496,           0.0067528,           0.0078916,           0.0078916,            0.028192
                  21,            0.037546,            0.039567,           0.0076189,             0.85981,             0.91862,             0.94091,             0.55739,            0.029065,            0.037121,           0.0074773,           0.0082595,           0.0082595,             0.02476
                  22,            0.038405,            0.043338,           0.0078987,              0.9286,             0.90197,             0.96153,             0.56823,            0.028959,            0.038087,            0.006283,           0.0086262,           0.0086262,            0.021326
                  23,             0.03799,            0.041968,           0.0072306,              0.9281,             0.86674,              0.9442,             0.50738,            0.033006,            0.037926,           0.0056806,           0.0089917,           0.0089917,            0.017892
                  24,            0.037249,            0.038099,           0.0066541,             0.89877,             0.82509,             0.91184,              0.5171,            0.028783,            0.038548,            0.007229,           0.0093558,           0.0093558,            0.014456
                  25,            0.036894,            0.040209,           0.0066997,             0.79564,             0.89254,             0.86391,             0.52847,            0.028443,            0.041162,            0.011554,           0.0097187,           0.0097187,            0.011019
