               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062239,            0.069384,            0.096558,             0.46066,             0.22336,             0.27402,             0.17663,            0.074348,            0.067853,             0.05695,             0.00037,             0.00037,             0.09667
                   1,             0.05302,            0.056391,             0.08481,             0.98916,             0.23243,              0.4868,             0.26992,            0.071127,            0.054167,            0.050739,          0.00074998,          0.00074998,             0.09325
                   2,            0.050501,            0.053715,            0.068565,             0.28252,             0.64609,             0.51548,             0.27146,            0.066202,            0.053438,            0.048143,           0.0011299,           0.0011299,             0.08983
                   3,            0.044691,            0.053392,            0.057197,             0.29627,             0.88626,             0.56826,              0.2916,            0.044487,            0.055968,            0.043107,           0.0015097,           0.0015097,             0.08641
                   4,            0.044188,            0.050361,            0.048144,             0.35413,             0.89903,             0.58582,             0.32651,            0.039964,            0.048797,            0.038011,           0.0018893,           0.0018893,            0.082989
                   5,            0.044429,            0.048272,            0.041651,             0.38401,             0.93338,             0.61054,             0.34654,            0.042007,            0.048035,            0.034415,           0.0022686,           0.0022686,            0.079569
                   6,            0.044571,            0.047286,            0.035677,             0.38684,             0.93779,             0.67465,             0.38736,             0.03486,            0.044085,            0.028973,           0.0026476,           0.0026476,            0.076148
                   7,            0.040392,            0.046158,            0.031362,              0.5147,             0.81615,             0.69565,             0.40602,            0.031938,             0.04321,            0.025704,           0.0030263,           0.0030263,            0.072726
                   8,            0.042276,            0.045118,            0.027791,             0.46116,             0.88519,             0.73426,             0.42288,            0.034464,            0.042369,            0.022437,           0.0034046,           0.0034046,            0.069305
                   9,            0.040547,            0.043754,            0.024425,             0.47678,             0.84449,             0.68597,              0.4164,             0.03575,            0.043767,            0.020645,           0.0037824,           0.0037824,            0.065882
                  10,            0.040665,            0.044087,            0.021233,             0.49501,             0.94143,             0.71151,             0.42823,            0.034902,            0.041259,             0.01757,           0.0041597,           0.0041597,             0.06246
                  11,             0.03784,            0.043763,              0.0184,             0.64845,             0.75672,             0.76368,             0.43409,            0.030728,            0.039973,            0.015375,           0.0045364,           0.0045364,            0.059036
                  12,            0.040252,            0.044544,            0.015824,             0.78053,             0.81541,             0.83556,             0.49947,            0.029872,            0.040584,            0.013382,           0.0049125,           0.0049125,            0.055613
                  13,            0.043904,            0.048842,            0.014345,             0.86165,             0.75648,             0.86788,             0.50829,            0.033155,            0.040841,             0.01139,           0.0052879,           0.0052879,            0.052188
                  14,            0.042042,            0.043299,            0.011933,             0.83485,             0.79735,             0.88574,             0.58079,            0.029363,            0.038262,            0.011047,           0.0056625,           0.0056625,            0.048763
                  15,            0.042637,            0.043112,            0.011547,             0.86337,             0.85989,             0.91065,             0.57019,            0.029343,             0.03915,           0.0096653,           0.0060364,           0.0060364,            0.045336
                  16,            0.043294,            0.045183,            0.011033,             0.87579,             0.82407,             0.88504,             0.56461,            0.028061,             0.03848,            0.011592,           0.0064094,           0.0064094,            0.041909
                  17,            0.038865,            0.041669,            0.008802,             0.86206,             0.80491,             0.88474,             0.53171,            0.028714,            0.037523,           0.0082133,           0.0067814,           0.0067814,            0.038481
                  18,            0.037959,            0.042262,           0.0084232,             0.79698,             0.89913,             0.89257,             0.53856,            0.030348,            0.037177,           0.0078912,           0.0071525,           0.0071525,            0.035053
                  19,              0.0377,            0.041517,            0.008007,              0.8746,             0.86711,             0.91192,             0.53843,            0.032901,            0.039508,           0.0074444,           0.0075226,           0.0075226,            0.031623
