               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1158,            0.040162,                   0,            0.007934,            0.013363,           0.0011239,          0.00023732,             0.10357,            0.038166,                   0,             0.00046,             0.00046,             0.09586
                   1,             0.09594,            0.042708,                   0,              0.4129,             0.50111,             0.31741,            0.086788,            0.079544,            0.040134,                   0,          0.00092998,          0.00092998,             0.09163
                   2,            0.068712,            0.037033,                   0,             0.69835,             0.64588,             0.72525,             0.28049,            0.051124,            0.026005,                   0,           0.0013999,           0.0013999,              0.0874
                   3,            0.062531,            0.026073,                   0,             0.79797,             0.61578,             0.74719,              0.3604,            0.051259,            0.027265,                   0,           0.0018696,           0.0018696,             0.08317
                   4,            0.060942,            0.023993,                   0,             0.81032,             0.76169,             0.87399,             0.37168,            0.045575,            0.022695,                   0,           0.0023391,           0.0023391,            0.078939
                   5,            0.054727,            0.022338,                   0,             0.48233,             0.91537,             0.64043,              0.2589,            0.053578,            0.017972,                   0,           0.0028083,           0.0028083,            0.074708
                   6,            0.049572,            0.019933,                   0,             0.66491,             0.88386,             0.85152,             0.45406,            0.037537,            0.016306,                   0,           0.0032771,           0.0032771,            0.070477
                   7,            0.046687,             0.01885,                   0,             0.69961,             0.89532,             0.83319,              0.4564,            0.036173,            0.016238,                   0,           0.0037455,           0.0037455,            0.066245
                   8,            0.042439,             0.01718,                   0,             0.84711,             0.88845,              0.9086,             0.33502,            0.037428,             0.01607,                   0,           0.0042133,           0.0042133,            0.062013
                   9,            0.041906,            0.017032,                   0,             0.97999,             0.98218,             0.99399,             0.60924,            0.031836,            0.014245,                   0,           0.0046806,           0.0046806,            0.057781
                  10,            0.041924,            0.016926,                   0,             0.64453,             0.81737,             0.82435,             0.33561,            0.043734,             0.01587,                   0,           0.0051473,           0.0051473,            0.053547
                  11,            0.044886,            0.017124,                   0,             0.86647,             0.95768,             0.90071,             0.51879,            0.033239,             0.01316,                   0,           0.0056132,           0.0056132,            0.049313
                  12,            0.041322,             0.01545,                   0,              0.7213,              0.8646,             0.87004,             0.39447,            0.038466,            0.013498,                   0,           0.0060784,           0.0060784,            0.045078
                  13,            0.040118,            0.016041,                   0,             0.85687,             0.87082,              0.9252,              0.3067,            0.036607,            0.013068,                   0,           0.0065426,           0.0065426,            0.040843
                  14,            0.038198,            0.015258,                   0,             0.98452,             0.99332,             0.99051,              0.5228,             0.02847,            0.012272,                   0,            0.007006,            0.007006,            0.036606
                  15,            0.036951,            0.014599,                   0,             0.99762,             0.93526,             0.98703,             0.63479,            0.027082,            0.011588,                   0,           0.0074684,           0.0074684,            0.032368
                  16,            0.032991,            0.013575,                   0,             0.99554,             0.99777,             0.99482,             0.60786,            0.029715,            0.011606,                   0,           0.0079297,           0.0079297,             0.02813
                  17,            0.034603,            0.014765,                   0,             0.99333,             0.99554,             0.99462,              0.7468,            0.023758,            0.011864,                   0,           0.0083899,           0.0083899,             0.02389
