               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10253,            0.047117,                   0,           0.0023398,              0.2784,           0.0015016,          0.00020014,            0.084425,            0.049101,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.095071,            0.049136,                   0,           0.0024806,             0.29399,             0.00162,          0.00024946,            0.082086,             0.04947,                   0,          0.00092998,          0.00092998,             0.09163
                   2,            0.093725,            0.049135,                   0,           0.0023023,             0.27394,           0.0014684,          0.00025846,            0.081437,             0.04946,                   0,           0.0013999,           0.0013999,              0.0874
                   3,            0.092332,            0.048157,                   0,           0.0024789,            0.026726,           0.0012534,          0.00022974,            0.081489,            0.049208,                   0,           0.0018696,           0.0018696,             0.08317
                   4,            0.091444,             0.04944,                   0,           0.0025437,              0.3029,           0.0016249,          0.00026997,            0.080765,            0.049361,                   0,           0.0023391,           0.0023391,            0.078939
                   5,             0.09031,            0.050101,                   0,            0.048827,            0.017817,           0.0037511,          0.00051176,            0.080471,            0.049457,                   0,           0.0028083,           0.0028083,            0.074708
                   6,            0.089273,             0.04984,                   0,           0.0027218,             0.21604,           0.0022743,          0.00037408,            0.080326,             0.04934,                   0,           0.0032771,           0.0032771,            0.070477
                   7,            0.087488,            0.052097,                   0,           0.0034807,             0.24722,           0.0040317,          0.00062977,            0.078943,            0.049934,                   0,           0.0037455,           0.0037455,            0.066245
                   8,            0.084589,             0.05107,                   0,            0.036536,            0.071269,            0.013096,           0.0025125,            0.073796,            0.052234,                   0,           0.0042133,           0.0042133,            0.062013
                   9,            0.080223,            0.054439,                   0,            0.069559,              0.6147,            0.052965,            0.012392,            0.066279,            0.054201,                   0,           0.0046806,           0.0046806,            0.057781
                  10,            0.071316,            0.052036,                   0,             0.34772,             0.47439,             0.27204,            0.053555,            0.064448,            0.047237,                   0,           0.0051473,           0.0051473,            0.053547
                  11,            0.067451,            0.040741,                   0,              0.4106,             0.55457,              0.4119,            0.097395,            0.063671,            0.045969,                   0,           0.0056132,           0.0056132,            0.049313
                  12,            0.062594,            0.035538,                   0,             0.78944,             0.70156,              0.7734,             0.39546,            0.043492,            0.034435,                   0,           0.0060784,           0.0060784,            0.045078
                  13,            0.059367,            0.034501,                   0,             0.69658,             0.79251,              0.7714,             0.35529,            0.041001,            0.032533,                   0,           0.0065426,           0.0065426,            0.040843
                  14,             0.05492,            0.031596,                   0,             0.69216,             0.82183,             0.77323,             0.25477,            0.044598,             0.03008,                   0,            0.007006,            0.007006,            0.036606
