               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10403,            0.044997,                   0,           0.0017234,             0.21714,          0.00096384,           0.0001927,            0.087153,            0.045857,                   0,             0.00038,             0.00038,             0.09658
                   1,            0.097562,            0.045546,                   0,           0.0017914,             0.22571,           0.0010464,           0.0001945,            0.084174,            0.046245,                   0,          0.00076998,          0.00076998,             0.09307
                   2,            0.095166,             0.04746,                   0,            0.001746,                0.22,           0.0010997,          0.00022083,            0.083346,            0.046194,                   0,           0.0011599,           0.0011599,             0.08956
                   3,             0.09412,            0.046634,                   0,           0.0020264,            0.065714,           0.0013345,          0.00024818,            0.083411,            0.045875,                   0,           0.0015497,           0.0015497,             0.08605
                   4,            0.092319,            0.046268,                   0,           0.0031033,            0.014286,           0.0014467,          0.00025524,            0.082808,             0.04602,                   0,           0.0019392,           0.0019392,            0.082539
                   5,            0.092331,            0.046004,                   0,           0.0030383,             0.12857,           0.0012538,          0.00024075,            0.082858,            0.045801,                   0,           0.0023286,           0.0023286,            0.079029
                   6,            0.090762,            0.047534,                   0,           0.0020185,             0.25429,           0.0015139,          0.00027912,            0.082077,            0.046036,                   0,           0.0027176,           0.0027176,            0.075518
                   7,            0.090553,            0.045811,                   0,            0.001999,             0.25143,           0.0029852,          0.00061947,            0.081474,            0.046212,                   0,           0.0031062,           0.0031062,            0.072006
                   8,            0.088101,            0.047215,                   0,           0.0044588,             0.66857,            0.037273,           0.0064075,            0.079216,            0.046797,                   0,           0.0034945,           0.0034945,            0.068494
                   9,            0.081743,            0.051379,                   0,            0.050704,                0.06,            0.011018,           0.0014465,            0.088063,            0.039654,                   0,           0.0038822,           0.0038822,            0.064982
                  10,            0.067875,            0.052119,                   0,             0.48499,             0.60857,             0.48305,             0.14489,            0.059206,            0.044152,                   0,           0.0042694,           0.0042694,            0.061469
                  11,            0.063799,            0.041708,                   0,             0.67529,             0.58286,             0.63414,             0.15254,            0.055222,            0.035932,                   0,           0.0046561,           0.0046561,            0.057956
                  12,            0.060157,            0.034259,                   0,             0.36617,             0.80571,             0.40658,            0.065759,            0.058565,            0.036181,                   0,            0.005042,            0.005042,            0.054442
                  13,            0.059868,            0.032504,                   0,             0.67338,             0.87429,             0.70256,             0.31974,            0.038641,            0.038613,                   0,           0.0054273,           0.0054273,            0.050927
                  14,            0.057459,            0.029922,                   0,              0.8501,              0.9074,             0.93059,             0.45093,             0.03475,            0.027792,                   0,           0.0058118,           0.0058118,            0.047412
                  15,            0.056502,            0.027279,                   0,             0.72658,             0.84286,             0.86574,             0.24737,            0.041313,            0.027197,                   0,           0.0061955,           0.0061955,            0.043895
                  16,            0.052891,            0.025288,                   0,             0.84733,             0.91975,             0.91614,             0.41075,            0.035974,            0.028088,                   0,           0.0065783,           0.0065783,            0.040378
                  17,            0.048409,            0.023974,                   0,             0.91543,             0.92857,             0.96518,             0.57593,            0.035441,            0.024884,                   0,           0.0069601,           0.0069601,             0.03686
                  18,            0.047145,            0.023117,                   0,             0.96894,             0.89136,              0.9691,             0.54306,            0.042621,            0.025506,                   0,            0.007341,            0.007341,            0.033341
                  19,            0.045068,            0.020609,                   0,             0.75791,             0.65297,             0.69393,             0.27916,            0.055973,            0.028128,                   0,           0.0077208,           0.0077208,            0.029821
                  20,             0.04472,            0.020122,                   0,             0.97645,             0.95714,              0.9813,             0.53776,            0.037574,            0.019319,                   0,           0.0080996,           0.0080996,              0.0263
                  21,            0.044404,            0.021516,                   0,              0.8416,             0.92857,             0.90059,             0.35815,            0.043043,            0.019283,                   0,           0.0084771,           0.0084771,            0.022777
                  22,            0.048658,            0.019776,                   0,             0.85587,             0.83133,             0.89616,             0.36118,            0.034713,            0.018917,                   0,           0.0088535,           0.0088535,            0.019253
